datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement;Geo Point;Geo Shape;gml_id;id_rva_troncon_fcd_v1_1;hierarchie;hierarchie_dv;denomination;insee;sens_circule;vitesse_maxi
2025-11-04T17:24:00+01:00;45849_D;51;2;60;freeFlow;1;48.10503410204262, -1.6935448045910886;"{""coordinates"": [[-1.693519567937978, 48.10515338791502], [-1.693570041244199, 48.104914816170236]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4465;4465;Réseau de distribution principale;Réseau de distribution;Rue Claude Bernard;35238;;50
2025-11-04T17:24:00+01:00;45849_G;6;15;73;congested;2;48.105018959456594, -1.6933852543770955;"{""coordinates"": [[-1.693410491391377, 48.10489967361881], [-1.693360017362814, 48.10513824529438]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4464;4464;Réseau de distribution principale;Réseau de distribution;Rue Claude Bernard;35238;;50
2025-11-04T17:24:00+01:00;45850_D;50;2;0;unknown;0;48.10345309261552, -1.694119048091082;"{""coordinates"": [[-1.694083168988142, 48.10355701128578], [-1.694154927194022, 48.103349173945254]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4467;4467;Réseau de distribution principale;Réseau de distribution;Rue Claude Bernard;35238;;50
2025-11-04T17:24:00+01:00;45850_G;22;4;48;heavy;1;48.10342877496372, -1.6939620522628425;"{""coordinates"": [[-1.693997931664825, 48.103324856341864], [-1.69392617286086, 48.103532693585564]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4466;4466;Réseau de distribution principale;Réseau de distribution;Rue Claude Bernard;35238;;50
2025-11-04T17:24:00+01:00;45865_G;9;42;49;congested;2;48.09741504380182, -1.6937154243505042;"{""coordinates"": [[-1.694090708504499, 48.09778269644663], [-1.693340140196509, 48.097047391157]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4468;4468;Réseau de distribution principale;Réseau de distribution;Boulevard Pierre Mendès-France;35238;;50
2025-11-04T17:24:00+01:00;46027;26;2;75;heavy;2;48.092154212974535, -1.6741990979136898;"{""coordinates"": [[-1.674198432356505, 48.0920786136669], [-1.674199763470875, 48.09222981228217]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4455;4455;Réseau de distribution principale;Réseau de distribution;Avenue Henri Fréville;35238;Sens unique;50
2025-11-04T17:24:00+01:00;46028;5;141;35;congested;1;48.09209454828756, -1.672945527544001;"{""coordinates"": [[-1.671709067075745, 48.09183921998684], [-1.671825931242132, 48.09186572008094], [-1.672121614047033, 48.09194745171287], [-1.672378001015703, 48.092016575511614], [-1.672663443174816, 48.0920788362985], [-1.672921491395537, 48.092119481420774], [-1.673244436965366, 48.0921745339021], [-1.673616786478287, 48.09221337211573], [-1.673961229917295, 48.09222493393665], [-1.674199763470875, 48.09222981228217]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4454;4454;Réseau de distribution principale;Réseau de distribution;Boulevard de l'Yser;35238;Sens unique;50
2025-11-04T17:24:00+01:00;46029;11;15;89;congested;4;48.09223811534265, -1.6745050716813585;"{""coordinates"": [[-1.674199763470875, 48.09222981228217], [-1.674810379891843, 48.09224641840313]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4457;4457;Réseau de distribution principale;Réseau de distribution;Boulevard de l'Yser;35238;Sens unique;50
2025-11-04T17:24:00+01:00;46036_D;14;35;75;congested;2;48.097751296991134, -1.656421795974117;"{""coordinates"": [[-1.657235271274559, 48.09744442237895], [-1.655608320673674, 48.09805817160332]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4456;4456;Réseau de distribution principale;Réseau de distribution;Boulevard Franklin Roosevelt;35238;;50
2025-11-04T17:24:00+01:00;46036_G;27;18;35;heavy;1;48.09784534010821, -1.656500857323249;"{""coordinates"": [[-1.655687381011286, 48.0981522152733], [-1.657314333635212, 48.097538464943106]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4459;4459;Réseau de distribution principale;Réseau de distribution;Boulevard Franklin Roosevelt;35238;;50
2025-11-04T17:24:00+01:00;46053_G;11;34;32;congested;1;48.09686158282472, -1.6532462967097452;"{""coordinates"": [[-1.652703554788719, 48.09656613191341], [-1.653789038630772, 48.09715703373603]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4461;4461;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46054_D;50;4;0;unknown;0;48.096330027657814, -1.652519238857218;"{""coordinates"": [[-1.652804505433656, 48.09648201627578], [-1.652233972280781, 48.09617803903985]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4460;4460;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46054_G;29;6;32;heavy;1;48.09641449832547, -1.652418947721246;"{""coordinates"": [[-1.652133680973382, 48.09626250946153], [-1.65270421446911, 48.09656648718942]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4447;4447;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46055_D;50;5;0;unknown;0;48.09597403793693, -1.6518636356533647;"{""coordinates"": [[-1.652234990901961, 48.0961785908823], [-1.651492280404768, 48.09576948499155]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4446;4446;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
2025-11-04T17:24:00+01:00;46055_G;27;9;32;heavy;1;48.09605740434609, -1.6517613069088894;"{""coordinates"": [[-1.651389951466147, 48.095852851074], [-1.652132662351632, 48.09626195761818]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.4449;4449;Réseau de distribution principale;Réseau de distribution;Rue de Vern;35238;;50
