datetime;averageVehicleSpeed;travelTime;trafficStatus;Geo Point;vitesse_maxi;denomination;hierarchie_dv
2025-11-04 17:24:00+01:00;19;4;heavy;48.08691521986697, -1.7071899698214965;50;Avenue Roger Dodin;Réseau structurant
2025-11-04 17:24:00+01:00;20;3;heavy;48.086994258280384, -1.7075003710012784;50;Avenue Roger Dodin;Réseau structurant
2025-11-04 17:24:00+01:00;28;36;heavy;48.08827088886822, -1.7065936340592616;50;Avenue Roger Dodin;Réseau structurant
2025-11-04 17:24:00+01:00;35;1;freeFlow;48.0871182477694, -1.7074383649432985;50;Avenue Roger Dodin;Réseau structurant
2025-11-04 17:24:00+01:00;21;2;heavy;48.08677798952768, -1.7072727966468852;50;Avenue Roger Dodin;Réseau structurant
2025-11-04 17:24:00+01:00;20;3;heavy;48.08685510365062, -1.7075867500552746;50;Avenue Roger Dodin;Réseau structurant
2025-11-04 17:24:00+01:00;56;9;freeFlow;48.06807946347244, -1.6657807306308274;30;Route départementale 82;Réseau structurant
2025-11-04 17:24:00+01:00;63;7;freeFlow;48.06810427107879, -1.665624068990629;30;Route départementale 82;Réseau structurant
2025-11-04 17:24:00+01:00;91;5;freeFlow;48.13995255340565, -1.5816792286474723;90;Route nationale 136;Route nationale
2025-11-04 17:24:00+01:00;90;13;freeFlow;48.141305920270675, -1.5840336278448837;90;Route nationale 136;Route nationale
2025-11-04 17:24:00+01:00;88;6;freeFlow;48.14007434920366, -1.5815442059749671;90;Route nationale 136;Route nationale
2025-11-04 17:24:00+01:00;64;13;freeFlow;48.138928674131655, -1.579833626981153;90;Route nationale 136;Route nationale
2025-11-04 17:24:00+01:00;49;3;heavy;48.14472815506634, -1.7623575963410743;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;22;8;congested;48.14485988077912, -1.7619448698289395;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;36;4;heavy;48.145004722417234, -1.762542884001303;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;26;71;heavy;48.14635505702552, -1.7590191189119933;80;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;40;47;heavy;48.14644512260943, -1.7591080280144231;80;Route départementale 29;Réseau de transit
2025-11-04 17:24:00+01:00;34;5;heavy;48.14516878556811, -1.762174370569614;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;3;73;congested;48.1172903764637, -1.6788489129380106;50;Rue de l'Hôtel Dieu;Réseau de distribution
2025-11-04 17:24:00+01:00;70;17;unknown;48.11818789789693, -1.7403072381395477;70;Avenue des Champs Bleus;Réseau structurant
2025-11-04 17:24:00+01:00;82;15;freeFlow;48.118294930322065, -1.7402864957354693;70;Avenue des Champs Bleus;Réseau structurant
2025-11-04 17:24:00+01:00;7;64;congested;48.126831269696, -1.6530396435527654;50;Rue de Fougères;Réseau de distribution
2025-11-04 17:24:00+01:00;27;17;heavy;48.12691540096655, -1.6531406270504703;50;Rue de Fougères;Réseau de distribution
2025-11-04 17:24:00+01:00;66;1;freeFlow;48.06958099456763, -1.6973416619063353;90;Route départementale 837;Réseau structurant
2025-11-04 17:24:00+01:00;30;14;unknown;48.12653116883703, -1.6520733912242491;30;Boulevard de Vitré;Réseau de distribution
2025-11-04 17:24:00+01:00;14;29;heavy;48.12652601928922, -1.6519106180133545;30;Boulevard de Vitré;Réseau de distribution
2025-11-04 17:24:00+01:00;7;84;congested;48.127815351538494, -1.6501903785456624;50;Rue de Fougères;Réseau de distribution
2025-11-04 17:24:00+01:00;9;68;congested;48.127918185872005, -1.6502401974005123;50;Rue de Fougères;Réseau de distribution
2025-11-04 17:24:00+01:00;30;1;freeFlow;48.12709615408728, -1.6519807206523984;30;Boulevard de Vitré;Réseau de distribution
2025-11-04 17:24:00+01:00;30;1;unknown;48.12710513117413, -1.6521413750335903;30;Boulevard de Vitré;Réseau de distribution
2025-11-04 17:24:00+01:00;50;0;unknown;48.127422172394404, -1.6524795606102605;50;Avenue de Rochester;Réseau de distribution
2025-11-04 17:24:00+01:00;48;1;freeFlow;48.12752978526332, -1.6524672186636344;50;Avenue de Rochester;Réseau de distribution
2025-11-04 17:24:00+01:00;8;5;congested;48.12721059145786, -1.6523357202027116;50;Rue de Fougères;Réseau de distribution
2025-11-04 17:24:00+01:00;21;1;heavy;48.12729385133293, -1.6524383031139382;50;Rue de Fougères;Réseau de distribution
2025-11-04 17:24:00+01:00;21;4;heavy;48.12736926529828, -1.6523963176796506;50;Rond-point des Gayeulles;Réseau de distribution
2025-11-04 17:24:00+01:00;14;10;congested;48.127622284713, -1.6523166968733567;50;Rond-point des Gayeulles;Réseau de distribution
2025-11-04 17:24:00+01:00;18;4;heavy;48.127751339355605, -1.65202262773595;50;Rond-point des Gayeulles;Réseau de distribution
